ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,,,
20181030,4012,La,Paz,County,AZ,0,100,100,100,0,0,2018-10-30,2018-11-05,1,
20181225,4013,Maricopa,County,AZ,0,100,39.81,0,0,0,2018-12-25,2018-12-31,1,,
20181218,4013,Maricopa,County,AZ,0,100,39.81,0,0,0,2018-12-18,2018-12-24,1,,
20181211,4013,Maricopa,County,AZ,0,100,39.81,0,0,0,2018-12-11,2018-12-17,1,,
20181204,4013,Maricopa,County,AZ,0,100,43.19,1.88,0,0,2018-12-04,2018-12-10,1,,
20181127,4013,Maricopa,County,AZ,0,100,43.19,1.88,0,0,2018-11-27,2018-12-03,1,,
20181120,4013,Maricopa,County,AZ,0,100,58.24,2.74,0,0,2018-11-20,2018-11-26,1,,
20181113,4013,Maricopa,County,AZ,0,100,58.24,2.74,0,0,2018-11-13,2018-11-19,1,,
20181106,4013,Maricopa,County,AZ,0,100,69.54,2.74,0,0,2018-11-06,2018-11-12,1,,
20181030,4013,Maricopa,County,AZ,0,100,69.54,23.16,0,0,2018-10-30,2018-11-05,1,,
20181225,4015,Mohave,County,AZ,0,100,100,23.77,0,0,2018-12-25,2018-12-31,1,,
20181218,4015,Mohave,County,AZ,0,100,100,23.77,0,0,2018-12-18,2018-12-24,1,,
20181211,4015,Mohave,County,AZ,0,100,100,23.77,0,0,2018-12-11,2018-12-17,1,,
20181204,4015,Mohave,County,AZ,0,100,100,24.45,0,0,2018-12-04,2018-12-10,1,,
20181127,4015,Mohave,County,AZ,0,100,100,24.45,0,0,2018-11-27,2018-12-03,1,,
20181120,4015,Mohave,County,AZ,0,100,100,24.45,0,0,2018-11-20,2018-11-26,1,,
20181113,4015,Mohave,County,AZ,0,100,100,24.45,0,0,2018-11-13,2018-11-19,1,,
20181106,4015,Mohave,County,AZ,0,100,100,24.45,0,0,2018-11-06,2018-11-12,1,,
20181030,4015,Mohave,County,AZ,0,100,100,24.45,0,0,2018-10-30,2018-11-05,1,,
20181225,4017,Navajo,County,AZ,0,100,100,95.4,63.91,0.11,2018-12-25,2018-12-31,1,,
20181218,4017,Navajo,County,AZ,0,100,100,95.49,63.91,0.11,2018-12-18,2018-12-24,1,,
20181211,4017,Navajo,County,AZ,0,100,100,95.49,63.91,0.11,2018-12-11,2018-12-17,1,,
20181204,4017,Navajo,County,AZ,0,100,100,95.49,63.91,0.11,2018-12-04,2018-12-10,1,,
20181127,4017,Navajo,County,AZ,0,100,100,95.49,63.91,1.81,2018-11-27,2018-12-03,1,,
20181120,4017,Navajo,County,AZ,0,100,100,95.49,63.91,1.81,2018-11-20,2018-11-26,1,,
20181113,4017,Navajo,County,AZ,0,100,100,95.49,63.91,1.81,2018-11-13,2018-11-19,1,,
20181106,4017,Navajo,County,AZ,0,100,100,95.49,63.91,1.78,2018-11-06,2018-11-12,1,,
20181030,4017,Navajo,County,AZ,0,100,100,95.49,63.91,1.78,2018-10-30,2018-11-05,1,,
20181225,4019,Pima,County,AZ,0,100,1.83,0,0,0,2018-12-25,2018-12-31,1,,
20181218,4019,Pima,County,AZ,0,100,1.83,0,0,0,2018-12-18,2018-12-24,1,,
20181211,4019,Pima,County,AZ,0,100,1.83,0,0,0,2018-12-11,2018-12-17,1,,
20181204,4019,Pima,County,AZ,0,100,1.83,0,0,0,2018-12-04,2018-12-10,1,,
20181127,4019,Pima,County,AZ,0,100,1.83,0,0,0,2018-11-27,2018-12-03,1,,
20181120,4019,Pima,County,AZ,0,100,15.03,0,0,0,2018-11-20,2018-11-26,1,,
20181113,4019,Pima,County,AZ,0,100,16.4,0,0,0,2018-11-13,2018-11-19,1,,
20181106,4019,Pima,County,AZ,0,100,16.4,0,0,0,2018-11-06,2018-11-12,1,,
20181030,4019,Pima,County,AZ,0,100,37.72,1.55,0,0,2018-10-30,2018-11-05,1,,
20181225,4021,Pinal,County,AZ,0,100,56.44,0,0,0,2018-12-25,2018-12-31,1,,
20181218,4021,Pinal,County,AZ,0,100,56.44,0,0,0,2018-12-18,2018-12-24,1,,
20181211,4021,Pinal,County,AZ,0,100,56.44,0,0,0,2018-12-11,2018-12-17,1,,
20181204,4021,Pinal,County,AZ,0,100,56.44,0,0,0,2018-12-04,2018-12-10,1,,
20181127,4021,Pinal,County,AZ,0,100,56.44,0,0,0,2018-11-27,2018-12-03,1,,
20181120,4021,Pinal,County,AZ,0,100,56.44,0,0,0,2018-11-20,2018-11-26,1,,
20181113,4021,Pinal,County,AZ,0,100,56.44,0,0,0,2018-11-13,2018-11-19,1,,
20181106,4021,Pinal,County,AZ,0,100,70.75,0,0,0,2018-11-06,2018-11-12,1,,
20181030,4021,Pinal,County,AZ,0,100,76.01,0,0,0,2018-10-30,2018-11-05,1,,
20181225,4023,Santa,Cruz,County,AZ,0,100,0,0,0,0,2018-12-25,2018-12-31,1,
20181218,4023,Santa,Cruz,County,AZ,0,100,0,0,0,0,2018-12-18,2018-12-24,1,
20181211,4023,Santa,Cruz,County,AZ,0,100,0,0,0,0,2018-12-11,2018-12-17,1,
20181204,4023,Santa,Cruz,County,AZ,0,100,0,0,0,0,2018-12-04,2018-12-10,1,
20181127,4023,Santa,Cruz,County,AZ,0,100,0,0,0,0,2018-11-27,2018-12-03,1,
20181120,4023,Santa,Cruz,County,AZ,0,100,0,0,0,0,2018-11-20,2018-11-26,1,
20181113,4023,Santa,Cruz,County,AZ,0,100,3.72,0,0,0,2018-11-13,2018-11-19,1,
20181106,4023,Santa,Cruz,County,AZ,0,100,3.72,0,0,0,2018-11-06,2018-11-12,1,
20181030,4023,Santa,Cruz,County,AZ,0,100,17.33,0,0,0,2018-10-30,2018-11-05,1,
20181225,4025,Yavapai,County,AZ,0,100,54.45,7.22,0,0,2018-12-25,2018-12-31,1,,
20181218,4025,Yavapai,County,AZ,0,100,54.45,7.22,0,0,2018-12-18,2018-12-24,1,,
20181211,4025,Yavapai,County,AZ,0,100,54.45,7.22,0,0,2018-12-11,2018-12-17,1,,
20181204,4025,Yavapai,County,AZ,0,100,54.45,9.94,0,0,2018-12-04,2018-12-10,1,,
20181127,4025,Yavapai,County,AZ,0,100,54.45,9.94,0,0,2018-11-27,2018-12-03,1,,
20181120,4025,Yavapai,County,AZ,0,100,54.45,9.94,0,0,2018-11-20,2018-11-26,1,,
20181113,4025,Yavapai,County,AZ,0,100,54.45,9.94,0,0,2018-11-13,2018-11-19,1,,
20181106,4025,Yavapai,County,AZ,0,100,63.59,9.94,0,0,2018-11-06,2018-11-12,1,,
20181030,4025,Yavapai,County,AZ,0,100,63.59,10.79,0,0,2018-10-30,2018-11-05,1,,
20181225,4027,Yuma,County,AZ,0,100,11.64,0,0,0,2018-12-25,2018-12-31,1,,
20181218,4027,Yuma,County,AZ,0,100,11.64,0,0,0,2018-12-18,2018-12-24,1,,
20181211,4027,Yuma,County,AZ,0,100,11.64,0,0,0,2018-12-11,2018-12-17,1,,
20181204,4027,Yuma,County,AZ,0,100,85.18,0,0,0,2018-12-04,2018-12-10,1,,
20181127,4027,Yuma,County,AZ,0,100,85.18,0,0,0,2018-11-27,2018-12-03,1,,
20181120,4027,Yuma,County,AZ,0,100,100,3.12,0,0,2018-11-20,2018-11-26,1,,
20181113,4027,Yuma,County,AZ,0,100,100,3.12,0,0,2018-11-13,2018-11-19,1,,
20181106,4027,Yuma,County,AZ,0,100,100,3.12,0,0,2018-11-06,2018-11-12,1,,
20181030,4027,Yuma,County,AZ,0,100,100,99.9,0,0,2018-10-30,2018-11-05,1,,
20181225,6001,Alameda,County,CA,0,100,49.68,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6001,Alameda,County,CA,0,100,49.68,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6001,Alameda,County,CA,0,100,49.68,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6001,Alameda,County,CA,0,100,100,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6001,Alameda,County,CA,0,100,100,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6001,Alameda,County,CA,0,100,100,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6001,Alameda,County,CA,0,100,0,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6001,Alameda,County,CA,0,100,0,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6001,Alameda,County,CA,0,100,0,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6003,Alpine,County,CA,98.61,1.39,0,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6003,Alpine,County,CA,98.61,1.39,0,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6003,Alpine,County,CA,98.61,1.39,0,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6003,Alpine,County,CA,98.61,1.39,0,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6003,Alpine,County,CA,0,100,0,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6003,Alpine,County,CA,0,100,0,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6003,Alpine,County,CA,0,100,0,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6003,Alpine,County,CA,0,100,0,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6003,Alpine,County,CA,31.64,68.36,0,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6005,Amador,County,CA,33.88,66.12,0,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6005,Amador,County,CA,33.88,66.12,0,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6005,Amador,County,CA,33.88,66.12,0,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6005,Amador,County,CA,33.88,66.12,0,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6005,Amador,County,CA,0,100,61.24,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6005,Amador,County,CA,0,100,61.24,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6005,Amador,County,CA,0,100,0,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6005,Amador,County,CA,0,100,0,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6005,Amador,County,CA,95.45,4.55,0,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6007,Butte,County,CA,0,100,100,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6007,Butte,County,CA,0,100,100,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6007,Butte,County,CA,0,100,100,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6007,Butte,County,CA,0,100,100,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6007,Butte,County,CA,0,100,100,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6007,Butte,County,CA,0,100,100,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6007,Butte,County,CA,0,100,67.63,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6007,Butte,County,CA,0,100,0,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6007,Butte,County,CA,0,100,0,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6009,Calaveras,County,CA,42.29,57.71,0,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6009,Calaveras,County,CA,42.29,57.71,0,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6009,Calaveras,County,CA,42.29,57.71,0,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6009,Calaveras,County,CA,42.29,57.71,0,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6009,Calaveras,County,CA,0,100,50.6,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6009,Calaveras,County,CA,0,100,50.6,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6009,Calaveras,County,CA,0,100,0,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6009,Calaveras,County,CA,0,100,0,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6009,Calaveras,County,CA,75.19,24.81,0,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6011,Colusa,County,CA,0,100,37.26,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6011,Colusa,County,CA,0,100,37.26,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6011,Colusa,County,CA,0,100,37.26,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6011,Colusa,County,CA,0,100,100,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6011,Colusa,County,CA,0,100,100,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6011,Colusa,County,CA,0,100,100,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6011,Colusa,County,CA,0,100,99.7,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6011,Colusa,County,CA,0,100,89.63,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6011,Colusa,County,CA,0,100,78.42,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6013,Contra,Costa,County,CA,0,100,0,0,0,0,2018-12-25,2018-12-31,1,
20181218,6013,Contra,Costa,County,CA,0,100,0,0,0,0,2018-12-18,2018-12-24,1,
20181211,6013,Contra,Costa,County,CA,0,100,0,0,0,0,2018-12-11,2018-12-17,1,
20181204,6013,Contra,Costa,County,CA,0,100,100,0,0,0,2018-12-04,2018-12-10,1,
20181127,6013,Contra,Costa,County,CA,0,100,100,0,0,0,2018-11-27,2018-12-03,1,
20181120,6013,Contra,Costa,County,CA,0,100,100,0,0,0,2018-11-20,2018-11-26,1,
20181113,6013,Contra,Costa,County,CA,0,100,0,0,0,0,2018-11-13,2018-11-19,1,
20181106,6013,Contra,Costa,County,CA,0,100,0,0,0,0,2018-11-06,2018-11-12,1,
20181030,6013,Contra,Costa,County,CA,0,100,0,0,0,0,2018-10-30,2018-11-05,1,
20181225,6015,Del,Norte,County,CA,0,100,100,1.46,0,0,2018-12-25,2018-12-31,1,
20181218,6015,Del,Norte,County,CA,0,100,100,62.67,0,0,2018-12-18,2018-12-24,1,
20181211,6015,Del,Norte,County,CA,0,100,100,62.67,0,0,2018-12-11,2018-12-17,1,
20181204,6015,Del,Norte,County,CA,0,100,100,62.67,0,0,2018-12-04,2018-12-10,1,
20181127,6015,Del,Norte,County,CA,0,100,100,62.67,0,0,2018-11-27,2018-12-03,1,
20181120,6015,Del,Norte,County,CA,0,100,100,62.67,0,0,2018-11-20,2018-11-26,1,
20181113,6015,Del,Norte,County,CA,0,100,100,62.67,0,0,2018-11-13,2018-11-19,1,
20181106,6015,Del,Norte,County,CA,0,100,100,62.67,0,0,2018-11-06,2018-11-12,1,
20181030,6015,Del,Norte,County,CA,0,100,100,16.18,0,0,2018-10-30,2018-11-05,1,
20181225,6017,El,Dorado,County,CA,25.96,74.04,0,0,0,0,2018-12-25,2018-12-31,1,
20181218,6017,El,Dorado,County,CA,25.96,74.04,0,0,0,0,2018-12-18,2018-12-24,1,
20181211,6017,El,Dorado,County,CA,25.96,74.04,0,0,0,0,2018-12-11,2018-12-17,1,
20181204,6017,El,Dorado,County,CA,25.96,74.04,0,0,0,0,2018-12-04,2018-12-10,1,
20181127,6017,El,Dorado,County,CA,0,100,67.21,0,0,0,2018-11-27,2018-12-03,1,
20181120,6017,El,Dorado,County,CA,0,100,67.21,0,0,0,2018-11-20,2018-11-26,1,
20181113,6017,El,Dorado,County,CA,0,100,0,0,0,0,2018-11-13,2018-11-19,1,
20181106,6017,El,Dorado,County,CA,0,100,0,0,0,0,2018-11-06,2018-11-12,1,
20181030,6017,El,Dorado,County,CA,84.25,15.75,0,0,0,0,2018-10-30,2018-11-05,1,
20181225,6019,Fresno,County,CA,24.79,75.21,47.19,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6019,Fresno,County,CA,24.79,75.21,47.19,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6019,Fresno,County,CA,24.79,75.21,47.19,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6019,Fresno,County,CA,24.79,75.21,47.19,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6019,Fresno,County,CA,0,100,47.19,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6019,Fresno,County,CA,0,100,47.19,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6019,Fresno,County,CA,0,100,43.57,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6019,Fresno,County,CA,0,100,43.57,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6019,Fresno,County,CA,28.45,71.55,43.57,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6021,Glenn,County,CA,0,100,61.44,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6021,Glenn,County,CA,0,100,61.44,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6021,Glenn,County,CA,0,100,61.44,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6021,Glenn,County,CA,0,100,100,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6021,Glenn,County,CA,0,100,100,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6021,Glenn,County,CA,0,100,100,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6021,Glenn,County,CA,0,100,100,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6021,Glenn,County,CA,0,100,73.03,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6021,Glenn,County,CA,0,100,72.58,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6023,Humboldt,County,CA,0,100,100,0.02,0,0,2018-12-25,2018-12-31,1,,
20181218,6023,Humboldt,County,CA,0,100,100,1.76,0,0,2018-12-18,2018-12-24,1,,
20181211,6023,Humboldt,County,CA,0,100,100,1.76,0,0,2018-12-11,2018-12-17,1,,
20181204,6023,Humboldt,County,CA,0,100,100,1.76,0,0,2018-12-04,2018-12-10,1,,
20181127,6023,Humboldt,County,CA,0,100,100,1.76,0,0,2018-11-27,2018-12-03,1,,
20181120,6023,Humboldt,County,CA,0,100,100,1.76,0,0,2018-11-20,2018-11-26,1,,
20181113,6023,Humboldt,County,CA,0,100,100,1.76,0,0,2018-11-13,2018-11-19,1,,
20181106,6023,Humboldt,County,CA,0,100,100,1.76,0,0,2018-11-06,2018-11-12,1,,
20181030,6023,Humboldt,County,CA,0,100,24.85,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6025,Imperial,County,CA,0,100,86.56,53.19,0,0,2018-12-25,2018-12-31,1,,
20181218,6025,Imperial,County,CA,0,100,86.56,53.19,0,0,2018-12-18,2018-12-24,1,,
20181211,6025,Imperial,County,CA,0,100,86.56,53.19,0,0,2018-12-11,2018-12-17,1,,
20181204,6025,Imperial,County,CA,0,100,100,82.29,53.26,0,2018-12-04,2018-12-10,1,,
20181127,6025,Imperial,County,CA,0,100,100,82.29,53.26,0,2018-11-27,2018-12-03,1,,
20181120,6025,Imperial,County,CA,0,100,100,82.29,53.26,0,2018-11-20,2018-11-26,1,,
20181113,6025,Imperial,County,CA,0,100,100,82.29,53.26,0,2018-11-13,2018-11-19,1,,
20181106,6025,Imperial,County,CA,0,100,100,82.29,53.26,0,2018-11-06,2018-11-12,1,,
20181030,6025,Imperial,County,CA,0,100,100,99.94,81.6,0,2018-10-30,2018-11-05,1,,
20181225,6027,Inyo,County,CA,8.58,91.42,72.67,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6027,Inyo,County,CA,8.58,91.42,72.67,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6027,Inyo,County,CA,8.58,91.42,72.67,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6027,Inyo,County,CA,8.58,91.42,72.67,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6027,Inyo,County,CA,0,100,72.67,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6027,Inyo,County,CA,0,100,0.19,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6027,Inyo,County,CA,0,100,0.19,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6027,Inyo,County,CA,0,100,0.19,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6027,Inyo,County,CA,13.43,86.57,0.19,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6029,Kern,County,CA,0,100,84.21,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6029,Kern,County,CA,0,100,84.21,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6029,Kern,County,CA,0,100,84.21,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6029,Kern,County,CA,0,100,84.21,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6029,Kern,County,CA,0,100,84.21,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6029,Kern,County,CA,0,100,84.12,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6029,Kern,County,CA,0,100,84.12,0,0,0,2018-11-13,2018-11-19,1,,
20181106,6029,Kern,County,CA,0,100,84.12,0,0,0,2018-11-06,2018-11-12,1,,
20181030,6029,Kern,County,CA,0,100,84.12,0,0,0,2018-10-30,2018-11-05,1,,
20181225,6031,Kings,County,CA,0,100,100,0,0,0,2018-12-25,2018-12-31,1,,
20181218,6031,Kings,County,CA,0,100,100,0,0,0,2018-12-18,2018-12-24,1,,
20181211,6031,Kings,County,CA,0,100,100,0,0,0,2018-12-11,2018-12-17,1,,
20181204,6031,Kings,County,CA,0,100,100,0,0,0,2018-12-04,2018-12-10,1,,
20181127,6031,Kings,County,CA,0,100,100,0,0,0,2018-11-27,2018-12-03,1,,
20181120,6031,Kings,County,CA,0,100,100,0,0,0,2018-11-20,2018-11-26,1,,
20181113,6031,Kings,County,CA,0,100,100,0,0,0,2018-11-13,2018-11-19,1,,
