ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20190326,4003,Cochise County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4003,Cochise County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4003,Cochise County,AZ,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4003,Cochise County,AZ,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4003,Cochise County,AZ,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4003,Cochise County,AZ,91.68,8.32,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4003,Cochise County,AZ,91.68,8.32,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4003,Cochise County,AZ,91.68,8.32,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4003,Cochise County,AZ,91.68,8.32,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4003,Cochise County,AZ,91.68,8.32,0,0,0,0,2019-01-22,2019-01-28,1
20190115,4003,Cochise County,AZ,89.49,10.51,0,0,0,0,2019-01-15,2019-01-21,1
20190108,4003,Cochise County,AZ,89.49,10.51,0.02,0,0,0,2019-01-08,2019-01-14,1
20190101,4003,Cochise County,AZ,0,100,2.36,0,0,0,2019-01-01,2019-01-07,1
20190430,4005,Coconino County,AZ,77.99,22.01,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4005,Coconino County,AZ,77.79,22.21,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4005,Coconino County,AZ,77.73,22.27,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4005,Coconino County,AZ,77.73,22.27,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4005,Coconino County,AZ,77.73,22.27,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4005,Coconino County,AZ,77.73,22.27,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4005,Coconino County,AZ,77.39,22.61,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4005,Coconino County,AZ,59.49,40.51,22.27,0,0,0,2019-03-12,2019-03-18,1
20190305,4005,Coconino County,AZ,47.24,52.76,22.66,0,0,0,2019-03-05,2019-03-11,1
20190226,4005,Coconino County,AZ,47.24,52.76,22.36,0,0,0,2019-02-26,2019-03-04,1
20190219,4005,Coconino County,AZ,7.79,92.21,46.7,15.41,0,0,2019-02-19,2019-02-25,1
20190212,4005,Coconino County,AZ,0,100,48.26,15.41,0,0,2019-02-12,2019-02-18,1
20190205,4005,Coconino County,AZ,0,100,61.03,25.64,0,0,2019-02-05,2019-02-11,1
20190129,4005,Coconino County,AZ,0,100,61.03,25.64,0,0,2019-01-29,2019-02-04,1
20190122,4005,Coconino County,AZ,0,100,61.28,25.64,0,0,2019-01-22,2019-01-28,1
20190115,4005,Coconino County,AZ,0,100,90.38,39.42,6.88,0,2019-01-15,2019-01-21,1
20190108,4005,Coconino County,AZ,0,100,90.38,39.42,6.88,0,2019-01-08,2019-01-14,1
20190101,4005,Coconino County,AZ,0,100,92.63,39.42,6.88,0,2019-01-01,2019-01-07,1
20190430,4007,Gila County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4007,Gila County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4007,Gila County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4007,Gila County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4007,Gila County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4007,Gila County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4007,Gila County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4007,Gila County,AZ,96.83,3.17,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4007,Gila County,AZ,78.32,21.68,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4007,Gila County,AZ,78.32,21.68,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4007,Gila County,AZ,0,100,20.77,0,0,0,2019-02-19,2019-02-25,1
20190212,4007,Gila County,AZ,0,100,27.25,0,0,0,2019-02-12,2019-02-18,1
20190205,4007,Gila County,AZ,0,100,28.81,0,0,0,2019-02-05,2019-02-11,1
20190129,4007,Gila County,AZ,0,100,28.81,0,0,0,2019-01-29,2019-02-04,1
20190122,4007,Gila County,AZ,0,100,29.19,0,0,0,2019-01-22,2019-01-28,1
20190115,4007,Gila County,AZ,0,100,29.19,0,0,0,2019-01-15,2019-01-21,1
20190108,4007,Gila County,AZ,0,100,29.19,0,0,0,2019-01-08,2019-01-14,1
20190101,4007,Gila County,AZ,0,100,98.72,8.11,0,0,2019-01-01,2019-01-07,1
20190430,4009,Graham County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4009,Graham County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4009,Graham County,AZ,99.9,0.1,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4009,Graham County,AZ,99.9,0.1,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4009,Graham County,AZ,99.9,0.1,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4009,Graham County,AZ,99.9,0.1,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4009,Graham County,AZ,99.9,0.1,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4009,Graham County,AZ,43.21,56.79,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4009,Graham County,AZ,40.34,59.66,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4009,Graham County,AZ,40.34,59.66,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4009,Graham County,AZ,0.42,99.58,44.25,0,0,0,2019-02-19,2019-02-25,1
20190212,4009,Graham County,AZ,0.42,99.58,44.52,0,0,0,2019-02-12,2019-02-18,1
20190205,4009,Graham County,AZ,0.42,99.58,44.52,0,0,0,2019-02-05,2019-02-11,1
20190129,4009,Graham County,AZ,0.42,99.58,45.79,0,0,0,2019-01-29,2019-02-04,1
20190122,4009,Graham County,AZ,0.42,99.58,46.05,0,0,0,2019-01-22,2019-01-28,1
20190115,4009,Graham County,AZ,0,100,48.26,0,0,0,2019-01-15,2019-01-21,1
20190108,4009,Graham County,AZ,0,100,53.29,0,0,0,2019-01-08,2019-01-14,1
20190101,4009,Graham County,AZ,0,100,96.47,33.51,0,0,2019-01-01,2019-01-07,1
20190430,4011,Greenlee County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4011,Greenlee County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4011,Greenlee County,AZ,44.98,55.02,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4011,Greenlee County,AZ,44.98,55.02,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4011,Greenlee County,AZ,44.98,55.02,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4011,Greenlee County,AZ,44.98,55.02,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4011,Greenlee County,AZ,44.98,55.02,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4011,Greenlee County,AZ,5.31,94.69,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4011,Greenlee County,AZ,5.31,94.69,4.19,0,0,0,2019-03-05,2019-03-11,1
20190226,4011,Greenlee County,AZ,5.31,94.69,4.2,0,0,0,2019-02-26,2019-03-04,1
20190219,4011,Greenlee County,AZ,3.02,96.98,80.6,0.51,0,0,2019-02-19,2019-02-25,1
20190212,4011,Greenlee County,AZ,3.02,96.98,80.6,0.51,0,0,2019-02-12,2019-02-18,1
20190205,4011,Greenlee County,AZ,3.02,96.98,80.6,0.51,0,0,2019-02-05,2019-02-11,1
20190129,4011,Greenlee County,AZ,3.02,96.98,82.45,0.51,0,0,2019-01-29,2019-02-04,1
20190122,4011,Greenlee County,AZ,3.02,96.98,82.37,0.51,0,0,2019-01-22,2019-01-28,1
20190115,4011,Greenlee County,AZ,0,100,90.98,0.51,0,0,2019-01-15,2019-01-21,1
20190108,4011,Greenlee County,AZ,0,100,99.86,0.51,0,0,2019-01-08,2019-01-14,1
20190101,4011,Greenlee County,AZ,0,100,100,85.15,0,0,2019-01-01,2019-01-07,1
20190430,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4012,La Paz County,AZ,99.39,0.61,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4012,La Paz County,AZ,55.17,44.83,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4012,La Paz County,AZ,55.17,44.83,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4012,La Paz County,AZ,4.28,95.72,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4012,La Paz County,AZ,0,100,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4012,La Paz County,AZ,0,100,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4012,La Paz County,AZ,0,100,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4012,La Paz County,AZ,0,100,68.38,0,0,0,2019-01-22,2019-01-28,1
20190115,4012,La Paz County,AZ,0,100,90.68,30.54,0,0,2019-01-15,2019-01-21,1
20190108,4012,La Paz County,AZ,0,100,90.68,30.54,0,0,2019-01-08,2019-01-14,1
20190101,4012,La Paz County,AZ,0,100,90.68,30.54,0,0,2019-01-01,2019-01-07,1
20190430,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4013,Maricopa County,AZ,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4013,Maricopa County,AZ,11.92,88.08,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4013,Maricopa County,AZ,11.74,88.26,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4013,Maricopa County,AZ,11.74,88.26,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4013,Maricopa County,AZ,11.74,88.26,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4013,Maricopa County,AZ,11.74,88.26,0.37,0,0,0,2019-01-22,2019-01-28,1
20190115,4013,Maricopa County,AZ,11.74,88.26,26.77,0,0,0,2019-01-15,2019-01-21,1
20190108,4013,Maricopa County,AZ,11.74,88.26,26.77,0,0,0,2019-01-08,2019-01-14,1
20190101,4013,Maricopa County,AZ,11.74,88.26,34.78,0,0,0,2019-01-01,2019-01-07,1
20190430,4015,Mohave County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4015,Mohave County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4015,Mohave County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4015,Mohave County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4015,Mohave County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4015,Mohave County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4015,Mohave County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4015,Mohave County,AZ,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4015,Mohave County,AZ,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4015,Mohave County,AZ,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4015,Mohave County,AZ,77.95,22.05,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4015,Mohave County,AZ,0,100,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4015,Mohave County,AZ,0,100,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4015,Mohave County,AZ,0,100,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4015,Mohave County,AZ,0,100,23.42,0,0,0,2019-01-22,2019-01-28,1
20190115,4015,Mohave County,AZ,0,100,100,23.77,0,0,2019-01-15,2019-01-21,1
20190108,4015,Mohave County,AZ,0,100,100,23.77,0,0,2019-01-08,2019-01-14,1
20190101,4015,Mohave County,AZ,0,100,100,23.77,0,0,2019-01-01,2019-01-07,1
20190430,4017,Navajo County,AZ,40.02,59.98,3.68,0,0,0,2019-04-30,2019-05-06,1
20190423,4017,Navajo County,AZ,40.02,59.98,4.13,0,0,0,2019-04-23,2019-04-29,1
20190416,4017,Navajo County,AZ,40.02,59.98,4.13,0,0,0,2019-04-16,2019-04-22,1
20190409,4017,Navajo County,AZ,40.02,59.98,4.13,0,0,0,2019-04-09,2019-04-15,1
20190402,4017,Navajo County,AZ,40.02,59.98,4.13,0,0,0,2019-04-02,2019-04-08,1
20190326,4017,Navajo County,AZ,40.02,59.98,4.13,0,0,0,2019-03-26,2019-04-01,1
20190319,4017,Navajo County,AZ,40.02,59.98,6.91,0,0,0,2019-03-19,2019-03-25,1
20190312,4017,Navajo County,AZ,25.34,74.66,59.97,5.44,0,0,2019-03-12,2019-03-18,1
20190305,4017,Navajo County,AZ,0.64,99.36,68.89,6.89,0,0,2019-03-05,2019-03-11,1
20190226,4017,Navajo County,AZ,0.64,99.36,68.88,6.89,0,0,2019-02-26,2019-03-04,1
20190219,4017,Navajo County,AZ,0,100,99.14,62.22,0.11,0,2019-02-19,2019-02-25,1
20190212,4017,Navajo County,AZ,0,100,100,62.22,0.11,0,2019-02-12,2019-02-18,1
20190205,4017,Navajo County,AZ,0,100,100,62.22,0.11,0,2019-02-05,2019-02-11,1
20190129,4017,Navajo County,AZ,0,100,100,62.22,0.11,0,2019-01-29,2019-02-04,1
20190122,4017,Navajo County,AZ,0,100,100,62.22,0.11,0,2019-01-22,2019-01-28,1
20190115,4017,Navajo County,AZ,0,100,100,90.72,63.91,0.11,2019-01-15,2019-01-21,1
20190108,4017,Navajo County,AZ,0,100,100,90.72,63.91,0.11,2019-01-08,2019-01-14,1
20190101,4017,Navajo County,AZ,0,100,100,93.59,63.91,0.11,2019-01-01,2019-01-07,1
20190430,4019,Pima County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4019,Pima County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4019,Pima County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4019,Pima County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4019,Pima County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4019,Pima County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4019,Pima County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4019,Pima County,AZ,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4019,Pima County,AZ,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4019,Pima County,AZ,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4019,Pima County,AZ,97.57,2.43,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4019,Pima County,AZ,97.57,2.43,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4019,Pima County,AZ,97.57,2.43,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4019,Pima County,AZ,97.57,2.43,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4019,Pima County,AZ,97.57,2.43,0,0,0,0,2019-01-22,2019-01-28,1
20190115,4019,Pima County,AZ,97.57,2.43,0,0,0,0,2019-01-15,2019-01-21,1
20190108,4019,Pima County,AZ,97.57,2.43,0,0,0,0,2019-01-08,2019-01-14,1
20190101,4019,Pima County,AZ,66.75,33.25,0,0,0,0,2019-01-01,2019-01-07,1
20190430,4021,Pinal County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4021,Pinal County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4021,Pinal County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4021,Pinal County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4021,Pinal County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4021,Pinal County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4021,Pinal County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4021,Pinal County,AZ,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4021,Pinal County,AZ,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4021,Pinal County,AZ,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4021,Pinal County,AZ,20.22,79.78,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4021,Pinal County,AZ,20.22,79.78,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4021,Pinal County,AZ,20.22,79.78,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4021,Pinal County,AZ,20.22,79.78,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4021,Pinal County,AZ,20.22,79.78,0,0,0,0,2019-01-22,2019-01-28,1
20190115,4021,Pinal County,AZ,20.22,79.78,0,0,0,0,2019-01-15,2019-01-21,1
20190108,4021,Pinal County,AZ,20.22,79.78,0,0,0,0,2019-01-08,2019-01-14,1
20190101,4021,Pinal County,AZ,20.22,79.78,11.72,0,0,0,2019-01-01,2019-01-07,1
20190430,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-01-22,2019-01-28,1
20190115,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-01-15,2019-01-21,1
20190108,4023,Santa Cruz County,AZ,100,0,0,0,0,0,2019-01-08,2019-01-14,1
20190101,4023,Santa Cruz County,AZ,1.02,98.98,0,0,0,0,2019-01-01,2019-01-07,1
20190430,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4025,Yavapai County,AZ,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4025,Yavapai County,AZ,64.38,35.62,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4025,Yavapai County,AZ,0,100,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4025,Yavapai County,AZ,0,100,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4025,Yavapai County,AZ,0,100,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4025,Yavapai County,AZ,0,100,6.43,0,0,0,2019-01-22,2019-01-28,1
20190115,4025,Yavapai County,AZ,0,100,44.27,7.22,0,0,2019-01-15,2019-01-21,1
20190108,4025,Yavapai County,AZ,0,100,44.27,7.22,0,0,2019-01-08,2019-01-14,1
20190101,4025,Yavapai County,AZ,0,100,54.45,7.22,0,0,2019-01-01,2019-01-07,1
20190430,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-04-30,2019-05-06,1
20190423,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-04-23,2019-04-29,1
20190416,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-04-16,2019-04-22,1
20190409,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-04-09,2019-04-15,1
20190402,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-04-02,2019-04-08,1
20190326,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-03-26,2019-04-01,1
20190319,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-03-19,2019-03-25,1
20190312,4027,Yuma County,AZ,92.26,7.74,0,0,0,0,2019-03-12,2019-03-18,1
20190305,4027,Yuma County,AZ,18.61,81.39,0,0,0,0,2019-03-05,2019-03-11,1
20190226,4027,Yuma County,AZ,18.61,81.39,0,0,0,0,2019-02-26,2019-03-04,1
20190219,4027,Yuma County,AZ,1.59,98.41,0,0,0,0,2019-02-19,2019-02-25,1
20190212,4027,Yuma County,AZ,1.59,98.41,0,0,0,0,2019-02-12,2019-02-18,1
20190205,4027,Yuma County,AZ,1.59,98.41,0,0,0,0,2019-02-05,2019-02-11,1
20190129,4027,Yuma County,AZ,1.59,98.41,0,0,0,0,2019-01-29,2019-02-04,1
20190122,4027,Yuma County,AZ,1.59,98.41,0,0,0,0,2019-01-22,2019-01-28,1
20190115,4027,Yuma County,AZ,1.59,98.41,11.64,0,0,0,2019-01-15,2019-01-21,1
20190108,4027,Yuma County,AZ,1.59,98.41,11.64,0,0,0,2019-01-08,2019-01-14,1
20190101,4027,Yuma County,AZ,1.59,98.41,11.64,0,0,0,2019-01-01,2019-01-07,1
20190430,6001,Alameda County,CA,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,6001,Alameda County,CA,100,0,0,0,0,0,2019-04-23,2019-04-29,1
20190416,6001,Alameda County,CA,100,0,0,0,0,0,2019-04-16,2019-04-22,1
20190409,6001,Alameda County,CA,100,0,0,0,0,0,2019-04-09,2019-04-15,1
20190402,6001,Alameda County,CA,100,0,0,0,0,0,2019-04-02,2019-04-08,1
20190326,6001,Alameda County,CA,100,0,0,0,0,0,2019-03-26,2019-04-01,1
20190319,6001,Alameda County,CA,100,0,0,0,0,0,2019-03-19,2019-03-25,1
20190312,6001,Alameda County,CA,100,0,0,0,0,0,2019-03-12,2019-03-18,1
20190305,6001,Alameda County,CA,100,0,0,0,0,0,2019-03-05,2019-03-11,1
20190226,6001,Alameda County,CA,100,0,0,0,0,0,2019-02-26,2019-03-04,1
20190219,6001,Alameda County,CA,100,0,0,0,0,0,2019-02-19,2019-02-25,1
20190212,6001,Alameda County,CA,100,0,0,0,0,0,2019-02-12,2019-02-18,1
20190205,6001,Alameda County,CA,27.59,72.41,0,0,0,0,2019-02-05,2019-02-11,1
20190129,6001,Alameda County,CA,49.16,50.84,0,0,0,0,2019-01-29,2019-02-04,1
20190122,6001,Alameda County,CA,0,100,49.68,0,0,0,2019-01-22,2019-01-28,1
20190115,6001,Alameda County,CA,0,100,49.68,0,0,0,2019-01-15,2019-01-21,1
20190108,6001,Alameda County,CA,0,100,49.68,0,0,0,2019-01-08,2019-01-14,1
20190101,6001,Alameda County,CA,0,100,49.68,0,0,0,2019-01-01,2019-01-07,1
20190430,6003,Alpine County,CA,100,0,0,0,0,0,2019-04-30,2019-05-06,1
20190423,6003,Alpine County,CA,100,0,0,0,0,0,2019-04-23,2019-04-29,1
