reservoir,storage,capacity,date,state
"Flaming Gorge",3027557,3788700,08/2000,UT
"Flaming Gorge",3026127,3788700,08/2000,UT
"Flaming Gorge",3026127,3788700,08/2000,UT
"Flaming Gorge",3026127,3788700,09/2000,UT
"Flaming Gorge",3025045,3788700,09/2000,UT
"Flaming Gorge",3023981,3788700,09/2000,UT
"Flaming Gorge",3022918,3788700,09/2000,UT
"Flaming Gorge",3022552,3788700,09/2000,UT
"Flaming Gorge",3021123,3788700,09/2000,UT
"Flaming Gorge",3019694,3788700,09/2000,UT
"Flaming Gorge",3018266,3788700,09/2000,UT
"Flaming Gorge",3017552,3788700,09/2000,UT
"Flaming Gorge",3016491,3788700,09/2000,UT
"Flaming Gorge",3015064,3788700,09/2000,UT
"Flaming Gorge",3013638,3788700,09/2000,UT
"Flaming Gorge",3012925,3788700,09/2000,UT
"Flaming Gorge",3012212,3788700,09/2000,UT
"Flaming Gorge",3011152,3788700,09/2000,UT
"Flaming Gorge",3009727,3788700,09/2000,UT
"Flaming Gorge",3008650,3788700,09/2000,UT
"Flaming Gorge",3006879,3788700,09/2000,UT
"Flaming Gorge",3006514,3788700,09/2000,UT
"Flaming Gorge",3005820,3788700,09/2000,UT
"Flaming Gorge",3006167,3788700,09/2000,UT
"Flaming Gorge",3007226,3788700,09/2000,UT
"Flaming Gorge",3007938,3788700,09/2000,UT
"Flaming Gorge",3008303,3788700,09/2000,UT
"Flaming Gorge",3008650,3788700,09/2000,UT
"Flaming Gorge",3009015,3788700,09/2000,UT
"Flaming Gorge",3009015,3788700,09/2000,UT
"Flaming Gorge",3009727,3788700,09/2000,UT
"Flaming Gorge",3010074,3788700,09/2000,UT
"Flaming Gorge",3009727,3788700,09/2000,UT
"Flaming Gorge",3009727,3788700,10/2000,UT
"Flaming Gorge",3009362,3788700,10/2000,UT
"Flaming Gorge",3009015,3788700,10/2000,UT
"Flaming Gorge",3008650,3788700,10/2000,UT
"Flaming Gorge",3008303,3788700,10/2000,UT
"Flaming Gorge",3008303,3788700,10/2000,UT
