reservoir,storage,capacity,pct_capacity,date
"Crane Prairie",37335,55300,67.5,08/2016,or
"Crane Prairie",35293,55300,63.8,09/2016,or
"Crane Prairie",36344,55300,65.7,10/2016,or
"Crane Prairie",36854,55300,66.6,11/2016,or
"Crane Prairie",37914,55300,68.6,12/2016,or
"Crane Prairie",39390,55300,71.2,01/2017,or
"Crane Prairie",40276,55300,72.8,02/2017,or
"Crane Prairie",43635,55300,78.9,03/2017,or
"Crane Prairie",46728,55300,84.5,04/2017,or
"Crane Prairie",48233,55300,87.2,05/2017,or
"Crane Prairie",47458,55300,85.8,06/2017,or
"Crane Prairie",46082,55300,83.3,07/2017,or
"Crane Prairie",44329,55300,80.2,08/2017,or
"Crane Prairie",37797,55300,68.3,09/2017,or
"Crane Prairie",35689,55300,64.5,10/2017,or
"Crane Prairie",37262,55300,67.4,11/2017,or
"Crane Prairie",40166,55300,72.6,12/2017,or
"Crane Prairie",41412,55300,74.9,01/2018,or
"Crane Prairie",43536,55300,78.7,02/2018,or
"Crane Prairie",46305,55300,83.7,03/2018,or
"Crane Prairie",47793,55300,86.4,04/2018,or
"Crane Prairie",48284,55300,87.3,05/2018,or
"Crane Prairie",48116,55300,87,06/2018,or
"Crane Prairie",45583,55300,82.4,07/2018,or
"Crane Prairie",37279,55300,67.4,08/2018,or
"Crane Prairie",35266,55300,63.8,09/2018,or
"Crane Prairie",35290,55300,63.8,10/2018,or
"Crane Prairie",35357,55300,63.9,11/2018,or
"Crane Prairie",36312,55300,65.7,12/2018,or
"Crane Prairie",37488,55300,67.8,01/2019,or
"Crane Prairie",40340,55300,72.9,02/2019,or
"Crane Prairie",42766,55300,77.3,03/2019,or
"Crane Prairie",45514,55300,82.3,04/2019,or
