Roosevelt,1194137,1381580,86.4,4/10/2019,AZ
"Horse Mesa",239087,245138,97.5,4/10/2019,AZ
"Mormon Flat",56216,57852,97.2,4/10/2019,AZ
"Stewart Mtn",67074,69765,96.1,4/10/2019,AZ
Roosevelt,1196598,1381580,86.6,4/11/2019,AZ
"Horse Mesa",239029,245138,97.5,4/11/2019,AZ
"Mormon Flat",56235,57852,97.2,4/11/2019,AZ
"Stewart Mtn",67047,69765,96.1,4/11/2019,AZ
Roosevelt,1199943,1381580,86.9,4/12/2019,AZ
"Horse Mesa",238990,245138,97.5,4/12/2019,AZ
"Mormon Flat",56291,57852,97.3,4/12/2019,AZ
"Stewart Mtn",67047,69765,96.1,4/12/2019,AZ
Roosevelt,1203646,1381580,87.1,4/13/2019,AZ
"Horse Mesa",238990,245138,97.5,4/13/2019,AZ
"Mormon Flat",56263,57852,97.3,4/13/2019,AZ
"Stewart Mtn",67019,69765,96.1,4/13/2019,AZ
Roosevelt,1206295,1381580,87.3,4/14/2019,AZ
"Horse Mesa",238911,245138,97.5,4/14/2019,AZ
"Mormon Flat",56291,57852,97.3,4/14/2019,AZ
"Stewart Mtn",67000,69765,96,4/14/2019,AZ
Roosevelt,1209301,1381580,87.5,4/15/2019,AZ
"Horse Mesa",238872,245138,97.4,4/15/2019,AZ
"Mormon Flat",56320,57852,97.4,4/15/2019,AZ
"Stewart Mtn",66991,69765,96,4/15/2019,AZ
Roosevelt,1211780,1381580,87.7,4/16/2019,AZ
"Horse Mesa",238772,245138,97.4,4/16/2019,AZ
"Mormon Flat",56329,57852,97.4,4/16/2019,AZ
"Stewart Mtn",66963,69765,96,4/16/2019,AZ
Roosevelt,1213730,1381580,87.9,4/17/2019,AZ
"Horse Mesa",238715,245138,97.4,4/17/2019,AZ
"Mormon Flat",56348,57852,97.4,4/17/2019,AZ
"Stewart Mtn",66954,69765,96,4/17/2019,AZ
Roosevelt,1216214,1381580,88,4/18/2019,AZ
"Horse Mesa",238694,245138,97.4,4/18/2019,AZ
"Mormon Flat",56376,57852,97.4,4/18/2019,AZ
"Stewart Mtn",66944,69765,96,4/18/2019,AZ
Roosevelt,1218346,1381580,88.2,4/19/2019,AZ
"Horse Mesa",238733,245138,97.4,4/19/2019,AZ
"Mormon Flat",56405,57852,97.5,4/19/2019,AZ
"Stewart Mtn",66944,69765,96,4/19/2019,AZ
Roosevelt,1221369,1381580,88.4,4/20/2019,AZ
"Horse Mesa",238615,245138,97.3,4/20/2019,AZ
"Mormon Flat",56405,57852,97.5,4/20/2019,AZ
"Stewart Mtn",66936,69765,95.9,4/20/2019,AZ
Roosevelt,1223149,1381580,88.5,4/21/2019,AZ
"Horse Mesa",238537,245138,97.3,4/21/2019,AZ
"Mormon Flat",56433,57852,97.5,4/21/2019,AZ
"Stewart Mtn",66907,69765,95.9,4/21/2019,AZ
Roosevelt,1225288,1381580,88.7,4/22/2019,AZ
"Horse Mesa",238497,245138,97.3,4/22/2019,AZ
"Mormon Flat",56442,57852,97.6,4/22/2019,AZ
"Stewart Mtn",66889,69765,95.9,4/22/2019,AZ
Roosevelt,1228324,1381580,88.9,4/23/2019,AZ
"Horse Mesa",238479,245138,97.3,4/23/2019,AZ
"Mormon Flat",56461,57852,97.6,4/23/2019,AZ
"Stewart Mtn",66880,69765,95.9,4/23/2019,AZ
Roosevelt,1230470,1381580,89.1,4/24/2019,AZ
"Horse Mesa",238419,245138,97.3,4/24/2019,AZ
"Mormon Flat",56489,57852,97.6,4/24/2019,AZ
"Stewart Mtn",66870,69765,95.9,4/24/2019,AZ
Roosevelt,1232798,1381580,89.2,4/25/2019,AZ
"Horse Mesa",238322,245138,97.2,4/25/2019,AZ
"Mormon Flat",56386,57852,97.5,4/25/2019,AZ
"Stewart Mtn",66954,69765,96,4/25/2019,AZ
Roosevelt,1234951,1381580,89.4,4/26/2019,AZ
"Horse Mesa",238105,245138,97.1,4/26/2019,AZ
"Mormon Flat",56442,57852,97.6,4/26/2019,AZ
"Stewart Mtn",67177,69765,96.3,4/26/2019,AZ
Roosevelt,1236926,1381580,89.5,4/27/2019,AZ
"Horse Mesa",238027,245138,97.1,4/27/2019,AZ
"Mormon Flat",56442,57852,97.6,4/27/2019,AZ
"Stewart Mtn",67186,69765,96.3,4/27/2019,AZ
Roosevelt,1239083,1381580,89.7,4/28/2019,AZ
"Horse Mesa",237988,245138,97.1,4/28/2019,AZ
"Mormon Flat",56461,57852,97.6,4/28/2019,AZ
"Stewart Mtn",67167,69765,96.3,4/28/2019,AZ
Roosevelt,1240704,1381580,89.8,4/29/2019,AZ
"Horse Mesa",237930,245138,97.1,4/29/2019,AZ
"Mormon Flat",56470,57852,97.6,4/29/2019,AZ
"Stewart Mtn",67159,69765,96.3,4/29/2019,AZ
Roosevelt,1242506,1381580,89.9,4/30/2019,AZ
"Horse Mesa",237831,245138,97,4/30/2019,AZ
"Mormon Flat",56470,57852,97.6,4/30/2019,AZ
"Stewart Mtn",67140,69765,96.2,4/30/2019,AZ
