year,month,value,anomaly
2011,07,71.2,0.8
2011,08,72.2,3.2
2011,09,64.7,3.3
2011,10,52.3,1.4
2011,11,39.0,0.0
2011,12,31.5,0.1
2012,01,34.9,5.1
2012,02,35.0,1.2
2012,03,44.1,4.4
2012,04,51.4,3.8
2012,05,57.8,2.0
2012,06,66.5,2.5
2012,07,72.6,2.1
2012,08,72.1,3.2
2012,09,64.5,3.1
2012,10,51.8,0.8
2012,11,43.2,4.2
2012,12,32.6,1.2
2013,01,29.1,-0.6
2013,02,34.2,0.3
2013,03,42.6,2.9
2013,04,47.3,-0.3
2013,05,57.5,1.6
2013,06,67.4,3.4
2013,07,72.9,2.4
2013,08,71.0,2.1
2013,09,63.5,2.1
2013,10,49.1,-1.8
2013,11,40.4,1.4
2013,12,29.5,-1.9
2014,01,34.8,5.1
2014,02,35.0,1.2
2014,03,42.4,2.7
2014,04,48.9,1.4
2014,05,57.5,1.7
2014,06,65.3,1.3
2014,07,73.1,2.6
2014,08,69.3,0.3
2014,09,64.0,2.6
2014,10,55.2,4.2
2014,11,39.1,0.1
2014,12,35.3,3.9
2015,01,35.4,5.7
2015,02,40.1,6.3
2015,03,46.6,6.8
2015,04,49.2,1.6
2015,05,55.9,0.0
2015,06,69.4,5.3
2015,07,70.7,0.3
2015,08,71.2,2.2
2015,09,64.8,3.4
2015,10,56.0,5.0
2015,11,38.5,-0.5
2015,12,32.3,0.9
2016,01,32.4,2.6
2016,02,39.8,6.0
2016,03,44.4,4.7
2016,04,51.0,3.4
2016,05,56.3,0.5
2016,06,68.5,4.5
2016,07,72.0,1.5
2016,08,69.8,0.8
2016,09,62.2,0.8
2016,10,53.9,2.9
2016,11,45.0,6.0
2016,12,30.2,-1.2
2017,01,29.6,-0.2
2017,02,38.2,4.3
2017,03,46.0,6.3
2017,04,48.6,1.0
2017,05,57.0,1.2
2017,06,67.3,3.3
2017,07,73.8,3.4
2017,08,71.0,2.1
2017,09,62.6,1.2
2017,10,51.2,0.2
2017,11,43.9,4.9
2017,12,34.1,2.8
2018,01,35.7,6.0
2018,02,33.7,-0.2
2018,03,41.5,1.8
2018,04,49.3,1.7
2018,05,60.3,4.5
2018,06,67.2,3.2
2018,07,73.7,3.3
2018,08,70.9,1.9
2018,09,63.8,2.4
2018,10,50.6,-0.3
2018,11,39.4,0.4
2018,12,33.3,2.0
2019,01,33.4,3.7
2019,02,29.6,-4.2
2019,03,39.7,-0.1
2019,04,50.0,2.4
